SKU,Title,Category,LocalPath,AssetKind,Width,Height,Bytes,SHA256,Validation
PK-MU-969,Nyx Holographic Halo Cream Eyeliner,beauty-personal-care,wwwroot/images/products/pk-mu-969.webp,source-record-paired-photograph,600,600,10794,b5cd7b858347489baec9c212f38662eab46947d9ab986532207ade0128fd702f,valid
PK-MU-938,Nyx Holographic Halo Finishing Powder,beauty-personal-care,wwwroot/images/products/pk-mu-938.webp,source-record-paired-photograph,600,600,9360,58867592e528fba94d8225d58f47da71b9e5478c14fa7c70788d4becf0acd322,valid
PK-MU-896,Nyx Hydra Touch Powder Foundation,beauty-personal-care,wwwroot/images/products/pk-mu-896.webp,source-record-paired-photograph,600,600,11686,c3e0f95021dcaa16132b911cf903442c1d685094fb58f85b662685ef05a5ca30,valid
PK-MU-927,Nyx Illuminator,beauty-personal-care,wwwroot/images/products/pk-mu-927.webp,source-record-paired-photograph,600,600,12834,436a086469e6e43a652d5dde9e72127f318289ad3e98e943eb2480a868ae0fa6,valid
PK-MU-875,Nyx In Your Element Lipstick - Air,beauty-personal-care,wwwroot/images/products/pk-mu-875.webp,source-record-paired-photograph,600,600,6550,9bdbe8c2e762ef425afac9e41b4dbeb8848d9d320d37ef9d8c39422d708ea1ab,valid
PK-MU-873,Nyx In Your Element Lipstick - Earth,beauty-personal-care,wwwroot/images/products/pk-mu-873.webp,source-record-paired-photograph,600,600,6590,96618e25c451bd5eb81a8cb603c04c60ac8460e214e1656a070410afcdba7728,valid
PK-MU-876,Nyx In Your Element Lipstick - Fire,beauty-personal-care,wwwroot/images/products/pk-mu-876.webp,source-record-paired-photograph,600,600,6574,35fa7576365b134772055b277a8797066a4fe0a75b9c62e21ad5cfb1e31bc486,valid
PK-MU-882,Nyx In Your Element Lipstick - Metal,beauty-personal-care,wwwroot/images/products/pk-mu-882.webp,source-record-paired-photograph,600,600,6592,7569303743b6a9ebdb344ac0d95675da7e1c892aab729ae4c416620fda53377a,valid
PK-MU-878,Nyx In Your Element Lipstick - Water,beauty-personal-care,wwwroot/images/products/pk-mu-878.webp,source-record-paired-photograph,600,600,6542,737d1aacec731bc55701df9364593482264f4379a7c397ac93bea4c5db1cf070,valid
PK-MU-877,Nyx In Your Element Lipstick - Wind,beauty-personal-care,wwwroot/images/products/pk-mu-877.webp,source-record-paired-photograph,600,600,6624,6b5feadb3fc6febb3be109ff8d9344fdc03d52e50065401dfa7fd6958a47b264,valid
PK-MU-901,Nyx Invincible Fullest Coverage Foundation,beauty-personal-care,wwwroot/images/products/pk-mu-901.webp,source-record-paired-photograph,600,600,8228,293d9c6e982e4a751e841ab440c7e69fd6634d811b14c3563c6362410e4ccd18,valid
PK-MU-956,Nyx Jumbo Eye Pencil,beauty-personal-care,wwwroot/images/products/pk-mu-956.webp,source-record-paired-photograph,600,600,12128,309200e8faae1eb179217e03c738bc0a7654618b00cd481a7e22f035a37b74b5,valid
PK-MU-874,Nyx Jumbo Lip Pencil,beauty-personal-care,wwwroot/images/products/pk-mu-874.webp,source-record-paired-photograph,600,600,13168,078656f66097b919f78de09b98b96660606f4bf7f46ae8201149b26bb35a66d5,valid
PK-MU-853,Nyx Lip Lingerie,beauty-personal-care,wwwroot/images/products/pk-mu-853.webp,source-record-paired-photograph,600,600,12094,c9d722d21ef669cf285f8fd51a1a43bdb441332285b4d5eed5ffee656d8585a8,valid
PK-MU-861,Nyx Lip Lustre Glossy Lip Tint,beauty-personal-care,wwwroot/images/products/pk-mu-861.webp,source-record-paired-photograph,600,600,12160,04d2b080cb91fba330bb10ffb91782fa744af309df51e3aaaa1e0e740b512d3e,valid
PK-MU-854,Nyx Liquid Suede Cream Lipstick,beauty-personal-care,wwwroot/images/products/pk-mu-854.webp,source-record-paired-photograph,600,600,16110,4fd9989a55bb0b01a3d827f20779d057c41ac7e5937ff36841b5bc1de8a4a9bf,valid
PK-MU-855,Nyx Liquid Suede Metallic Matte,beauty-personal-care,wwwroot/images/products/pk-mu-855.webp,source-record-paired-photograph,600,600,14776,b404738e8d82bfa7738316c7171f1e7285f830e511d68a46dec912aa9d598c25,valid
PK-MU-888,Nyx Luv Out Loud Liquid Lipstick,beauty-personal-care,wwwroot/images/products/pk-mu-888.webp,source-record-paired-photograph,600,600,14144,433e1aa43c7cb78909bef9b48458365d36260abca136f54d3d9f8ee8656dcb68,valid
PK-MU-883,Nyx Macaron Lippies,beauty-personal-care,wwwroot/images/products/pk-mu-883.webp,source-record-paired-photograph,600,600,13744,1bfad4b377738856c0064b493d4d1f3123b692677d67e35223b732227d99e9b1,valid
PK-MU-926,Nyx Matte Bronzer,beauty-personal-care,wwwroot/images/products/pk-mu-926.webp,source-record-paired-photograph,600,600,10584,748fa03b0dd7fb77318982ac595d80138086dc143e8b118d626ffc1c1443f755,valid
PK-MU-870,Nyx Matte Lipstick,beauty-personal-care,wwwroot/images/products/pk-mu-870.webp,source-record-paired-photograph,600,600,12378,1931e413449cc78e5e6a449bbef4a3e941badab9cc0b9c583e0ed06f9bbb835b,valid
PK-MU-941,Nyx Matte Liquid Liner,beauty-personal-care,wwwroot/images/products/pk-mu-941.webp,source-record-paired-photograph,600,600,3138,800d6c87daac4d4189b9ce9bc2b03fd61982c47aec47b03da5103b5f3abb792e,valid
PK-MU-964,Nyx Metallic Eyeliner,beauty-personal-care,wwwroot/images/products/pk-mu-964.webp,source-record-paired-photograph,600,600,10694,1ca69ecfce2caef389bd9a2655833bf68e79fed9868e232a911de706bd7841b6,valid
PK-MU-970,Nyx Micro Brow Pencil,beauty-personal-care,wwwroot/images/products/pk-mu-970.webp,source-record-paired-photograph,600,600,17568,0201aa2b3d0d1993cbb2efa2cac18d215d98c4c3769b195098d14432bf10b67b,valid
PK-MU-931,Nyx Mineral Finishing Powder,beauty-personal-care,wwwroot/images/products/pk-mu-931.webp,source-record-paired-photograph,600,600,11354,56c8bcf32d37ec1d0de5845107f0e31ad4594863b0280b5ef3588421828f9c11,valid
PK-MU-900,Nyx Mineral Stick Foundation,beauty-personal-care,wwwroot/images/products/pk-mu-900.webp,source-record-paired-photograph,600,600,8322,9c3a14416bc4e7793f3fd58c864cb1f909e2cf16e754b92be417d7738ef41b72,valid
PK-MU-919,Nyx Mosaic Powder Blush,beauty-personal-care,wwwroot/images/products/pk-mu-919.webp,source-record-paired-photograph,600,600,10470,97fb065d4f403b70124fa8ee79a10893184e5fb52959149197f99a6d1ba356ef,valid
PK-MU-915,Nyx Ombre Blush,beauty-personal-care,wwwroot/images/products/pk-mu-915.webp,source-record-paired-photograph,600,600,11192,96978281a51e1431554ee8472cedcc394d577bcd5f615588da28f88b0a4aa182,valid
PK-MU-864,Nyx Pin-Up Pout Lipstick,beauty-personal-care,wwwroot/images/products/pk-mu-864.webp,source-record-paired-photograph,600,600,11960,d85d19f660ef869c5ad34a6093697f921d4459520d8cf555c06ae63d40496ef8,valid
PK-MU-867,Nyx Plush Gel Lipstick,beauty-personal-care,wwwroot/images/products/pk-mu-867.webp,source-record-paired-photograph,600,600,13236,8ddc3c70667f1235ca3d81332229f4b112cfdcc4795a4231f974326393d3ff84,valid
PK-MU-913,Nyx Powder Blush,beauty-personal-care,wwwroot/images/products/pk-mu-913.webp,source-record-paired-photograph,600,600,15744,43c96f0c73b5dccbffb80eeeea9011befa19333397ee9e954308cc248d7a959a,valid
PK-MU-862,Nyx Powder Puff Lippie Powder Lip Cream,beauty-personal-care,wwwroot/images/products/pk-mu-862.webp,source-record-paired-photograph,600,600,8078,fd11edc6dab8998385bcd1099fd94c40040c4383871c435cdb76b050fd7f2965,valid
PK-MU-978,Nyx Precision Brow Pencil,beauty-personal-care,wwwroot/images/products/pk-mu-978.webp,source-record-paired-photograph,600,600,11792,4fe1137d8230c4d81bc16c3a2f2b132d9b26f6e11e5b66d1e99f17d14d4ffd9a,valid
PK-MU-933,Nyx Primal Colors,beauty-personal-care,wwwroot/images/products/pk-mu-933.webp,source-record-paired-photograph,600,600,12576,879b2b2d3ff0d749eeee25f6c4f47dfd3ad202df4b38cada42ede81ecd8bd603,valid
PK-MU-895,Nyx Pro Foundation Mixer,beauty-personal-care,wwwroot/images/products/pk-mu-895.webp,source-record-paired-photograph,600,600,15228,7829b86919ef660c95a032e0e0455eaf55436ceb7c0ec634d318b985c6f2b707,valid
PK-MU-869,Nyx Pro Lip Cream Palette,beauty-personal-care,wwwroot/images/products/pk-mu-869.webp,source-record-paired-photograph,600,600,7236,3f07306571fc36ea5645609e98086fc99e662ac0f94fb4429b9528f06161aa9e,valid
PK-MU-980,Nyx Proof It! Waterproof Eyebrow Primer,beauty-personal-care,wwwroot/images/products/pk-mu-980.webp,source-record-paired-photograph,600,600,4618,f5741eeeaa0443f39056bf986c7d2335f870340f6388d612a86144e6606425e4,valid
PK-MU-996,Nyx Proof It! Waterproof Mascara Top Coat,beauty-personal-care,wwwroot/images/products/pk-mu-996.webp,source-record-paired-photograph,600,600,5600,126793a6ca0a7ca4454ef1c49b311dc86c3a7061525a2768d49f789385ca2eb2,valid
